address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"538 2nd Ave,New York, NY 10016",Surreal Creamery,New York,6/6/2020,Ice Cream & Frozen Yogurt/Bubble Tea,10/24/2020,4,115,NY,538 2nd Ave,10016
"265 Graham Ave,Store Front,Brooklyn, NY 11206",Creep City Ninja Bubble Tea,Brooklyn,6/17/2018,Bubble Tea/Vietnamese/Venues & Event Spaces,7/25/2020,3,27,NY,265 Graham Ave,11206
"863 Sterling Pl,Brooklyn, NY 11216",Namas Tea,Brooklyn,6/28/2019,Coffee & Tea/Bubble Tea/Venues & Event Spaces,9/1/2020,5,19,NY,863 Sterling Pl,11216
"86-55 Broadway,Elmhurst, NY 11373",Coco Fresh Tea & Juice,Elmhurst,3/1/2013,Bubble Tea,10/24/2020,3,64,NY,86-55 Broadway,11373
"1151 2nd Ave,New York, NY 10065",Hawa smoothie & Bubble tea,New York,10/29/2019,Bubble Tea/Juice Bars & Smoothies,9/18/2020,5,8,NY,1151 2nd Ave,10065
"70-10 Austin St,Ste 3,Forest Hills, NY 11375",Kung Fu Tea,Forest Hills,4/7/2013,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/16/2020,3,146,NY,70-10 Austin St,11375
"213 W 40th St,New York, NY 10018",MomenTea Kitchen,New York,11/15/2019,Sushi Bars/Bubble Tea/Noodles,10/23/2020,4,52,NY,213 W 40th St,10018
"1323 Ave U,Brooklyn, NY 11229",TBaar,Brooklyn,8/23/2016,Bubble Tea/Juice Bars & Smoothies/Tea Rooms,8/24/2020,4,31,NY,1323 Ave U,11229
"597 Manor Rd,Staten Island, NY 10314",Lil M Bubble Tea,Staten Island,9/3/2019,Chicken Wings/Bubble Tea,2/23/2020,4,5,NY,597 Manor Rd,10314
"15 W 32nd St,New York, NY 10001",Macao Imperial Tea,New York,8/20/2019,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/24/2020,4,63,NY,15 W 32nd St,10001
"192 1st Ave,New York, NY 10009",Juice Vitality,New York,1/7/2016,Juice Bars & Smoothies/Bubble Tea/Acai Bowls,10/10/2020,5,180,NY,192 1st Ave,10009
"160 E 44th St,New York, NY 10017",Gong Cha,New York,6/21/2017,Bubble Tea,10/27/2020,4,95,NY,160 E 44th St,10017
"86 5th Ave,Brooklyn, NY 11217",Mr. Wish,Brooklyn,8/24/2017,Bubble Tea/Juice Bars & Smoothies/Tea Rooms,10/14/2020,4,67,NY,86 5th Ave,11217
"621 S Western Ave,Ste 102,Los Angeles, CA 90005",Boba Square,Los Angeles,10/18/2017,Bubble Tea/Juice Bars & Smoothies/Coffee & Tea,9/9/2020,3,69,CA,621 S Western Ave,90005
"4445 N Pulaski Rd,Ste M,Chicago, IL 60630",Chen's Garden,Chicago,3/12/2009,Chinese,8/3/2020,3,52,IL,4445 N Pulaski Rd,60630
"3307 Spring Stuebner Rd,Ste E,Spring, TX 77389",K&S Kolaches & More,Spring,,American (Traditional)/Bubble Tea/Donuts,,,,TX,3307 Spring Stuebner Rd,77389
"1301 E University Dr,Tempe, AZ 85281",Republic Ramen + Noodles,Tempe,4/6/2010,Ramen/Noodles,10/25/2020,3,730,AZ,1301 E University Dr,85281
"1381 N Alma School Rd,Chandler, AZ 85224",Saigon Pho & Seafood,Chandler,6/29/2006,Vietnamese/Seafood/Soup,9/15/2020,4,454,AZ,1381 N Alma School Rd,85224
"1210 E Southern Ave,Mesa, AZ 85204",Panda Express,Mesa,3/20/2015,Fast Food/Chinese/Bubble Tea,9/6/2020,1,67,AZ,1210 E Southern Ave,85204
"7067 Hwy 6 N,Houston, TX 77095",Banh Mi And Tea,Houston,6/17/2018,Sandwiches/Vietnamese/Coffee & Tea,9/16/2020,4,127,TX,7067 Hwy 6 N,77095
"10960 N Fwy,Houston, TX 77037",Street Food Guru,Houston,,Bubble Tea/Vietnamese/Chicken Wings,,,,TX,10960 N Fwy,77037
"8623 Airline Dr,Houston, TX 77037",Teacups,Houston,,Bubble Tea,,,,TX,8623 Airline Dr,77037
"10623 Bellaire Blvd,Ste C108,Houston, TX 77072",Chez Beignets,Houston,12/29/2008,Coffee & Tea/Desserts/Sandwiches,10/29/2020,3,343,TX,10623 Bellaire Blvd,77072
"3412 Hwy 6,Ste N,Sugar Land, TX 77478",Mia’s Goodies,Sugar Land,5/30/2020,Desserts,10/25/2020,4,25,TX,3412 Hwy 6,77478
"10020 Long Point Rd,Houston, TX 77055",Hotsome Chicken,Houston,2/1/2018,Chicken Wings/Korean,10/16/2020,4,169,TX,10020 Long Point Rd,77055
"19111 Katy Fwy,Ste 300,Houston, TX 77094",Ling Long,Houston,8/24/2019,Chinese/Noodles,10/26/2020,4,52,TX,19111 Katy Fwy,77094
"6650 Corporate Dr,Ste E,Houston, TX 77036",Matcha Cafe Maiko,Houston,7/12/2018,Ice Cream & Frozen Yogurt/Coffee & Tea/Shaved Ice,10/25/2020,4,397,TX,6650 Corporate Dr,77036
"12779 Windfern Rd,Houston, TX 77064",Max Donuts,Houston,2/25/2019,Donuts/Juice Bars & Smoothies/Bubble Tea,9/28/2020,4,7,TX,12779 Windfern Rd,77064
"5114 -16 Museum Dr,Oak Lawn, IL 60453",La Michoacana Premium Oak Lawn,Oak Lawn,5/18/2018,Ice Cream & Frozen Yogurt,9/23/2020,3,20,IL,5114 -16 Museum Dr,60453
"2706 W Peterson Ave,Chicago, IL 60659",Pride Sushi and Thai,Chicago,3/18/2014,Japanese/Thai/Sushi Bars,10/19/2020,4,217,IL,2706 W Peterson Ave,60659
"2121B S China Pl,Fl 2,Chicago, IL 60616",Chicago Chinese Cultural Institute,Chicago,7/12/2007,Walking Tours,6/14/2017,5,6,IL,2121B S China Pl,60616
"807 W Chicago Ave,East Chicago, IN 46312",China Wok,East Chicago,2/10/2010,Chinese,9/13/2019,3,12,IN,807 W Chicago Ave,46312
"2415 N Ashland Ave,Chicago, IL 60614",Kinnaree Thai Kitchen,Chicago,5/3/2016,Thai,9/27/2020,4,107,IL,2415 N Ashland Ave,60614
"123 E St Charles Rd,Villa Park, IL 60181",Viet Taste,Villa Park,,Bubble Tea/Noodles/Vietnamese,,,,IL,123 E St Charles Rd,60181
"2228 S Wentworth Ave,Chicago, IL 60616",Feida Bakery,Chicago,8/27/2005,Bakeries,10/5/2020,3,71,IL,2228 S Wentworth Ave,60616
"1971 Bloomingdale Rd,Glendale Heights, IL 60139",Pho Ha,Glendale Heights,8/11/2006,Vietnamese/Coffee & Tea/Breakfast & Brunch,10/24/2020,4,400,IL,1971 Bloomingdale Rd,60139
"8901 N Milwaukee Ave,Niles, IL 60714",Assi Plaza,Niles,3/28/2008,International Grocery,9/19/2020,4,166,IL,8901 N Milwaukee Ave,60714
"177 Caruso Ave,Glendale, CA 91210",Din Tai Fung,Glendale,11/4/2013,Shanghainese/Dim Sum/Taiwanese,10/29/2020,4,3866,CA,177 Caruso Ave,91210
