address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"11200 Lakeline Mall Dr,Ste 206,Cedar Park, TX 78613",Simon's Sushi,Cedar Park,3/10/2016,Sushi Bars,12/29/2018,3,5,TX,11200 Lakeline Mall Dr,78613
"3200 Greenlawn Blvd,Ste 300,Round Rock, TX 78664",Misaki - Sushi & Ramen,Round Rock,11/19/2016,Sushi Bars/Ramen,10/1/2020,4,232,TX,3200 Greenlawn Blvd,78664
"1417 S 1st St,Austin, TX 78704",Sway,Austin,12/4/2012,Thai/Wine Bars/Cocktail Bars,10/10/2020,4,1653,TX,1417 S 1st St,78704
"251 N Bell Blvd,Cedar Park, TX 78613",Hunan Chef,Cedar Park,1/3/2008,Chinese,10/28/2020,3,91,TX,251 N Bell Blvd,78613
"315 N Bell Blvd,Cedar Park, TX 78613",Kim Phung Restaurant,Cedar Park,6/20/2015,Vietnamese/Chinese/Thai,10/17/2020,3,166,TX,315 N Bell Blvd,78613
"10815 Ranch Road 2222,Ste 207,Austin, TX 78730",Tea Haus,Austin,1/31/2015,Bubble Tea/Asian Fusion/Chinese,10/3/2020,4,408,TX,10815 Ranch Road 2222,78730
"8650 Spicewood Springs Rd,Ste 133D,Austin, TX 78759",A+A Sichuan China,Austin,10/28/2010,Szechuan,9/4/2020,3,300,TX,8650 Spicewood Springs Rd,78759
"3220 Feathergrass Ct,Ste 136,Austin, TX 78759",Yogurt Planet,Austin,4/18/2010,Ice Cream & Frozen Yogurt,10/2/2019,4,60,TX,3220 Feathergrass Ct,78759
"2601 S Ih 35,Ste A 500,Round Rock, TX 78664",Pho Lee Vietnamese Restaurant,Round Rock,11/8/2011,Vietnamese,10/11/2020,4,208,TX,2601 S Ih 35,78664
"11501 Rock Rose Ave,Ste 152,Austin, TX 78758",LOTUS CHINESE,Austin,4/20/2018,Asian Fusion/Chinese/Noodles,10/23/2020,4,161,TX,11501 Rock Rose Ave,78758
"4211 S Lamar Blvd,Austin, TX 78704",Dong Nai,Austin,11/7/2006,Vietnamese/Chinese,10/12/2020,3,308,TX,4211 S Lamar Blvd,78704
"202 Walton Way,Ste 150,Cedar Park, TX 78613",Gangnam Zip,Cedar Park,9/15/2015,Korean/Bubble Tea/Ramen,10/9/2020,4,247,TX,202 Walton Way,78613
"1920 East Riverside Dr,Ste D140,Austin, TX 78741",Pho Please,Austin,1/23/2016,Vietnamese/Noodles/Soup,11/2/2020,4,910,TX,1920 East Riverside Dr,78741
"11301 Lakeline Blvd,Ste 220,Austin, TX 78717",Teapioca Lounge,Austin,2/4/2019,Bubble Tea/Juice Bars & Smoothies/Coffee & Tea,9/30/2020,4,39,TX,11301 Lakeline Blvd,78717
"2001 Guadalupe St,Ste A2,Austin, TX 78705",Kung Fu Tea,Austin,11/17/2019,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/24/2020,4,20,TX,2001 Guadalupe St,78705
"1400 E Old Settlers Blvd,Ste 104,Round Rock, TX 78664",Sunrise Teahouse,Round Rock,8/16/2014,Bubble Tea/Coffee & Tea,10/31/2020,4,84,TX,1400 E Old Settlers Blvd,78664
"2901 S Capital Of Texas Hwy,Barton Creek Square Mall,Austin, TX 78746",Osio,Austin,1/18/2009,Korean/Bubble Tea/Sushi Bars,9/14/2020,4,84,TX,2901 S Capital Of Texas Hwy,78746
"10300 Anderson Mill Rd,Ste A,Austin, TX 78750",Shanghai Noodle House,Austin,12/18/2015,Noodles,3/9/2020,3,83,TX,10300 Anderson Mill Rd,78750
"10901 N Lamar Blvd,Austin, TX 78753",BAMBU,Austin,6/13/2014,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,9/6/2020,4,224,TX,10901 N Lamar Blvd,78753
"3210 Esperanza Crossing,Ste 126,Austin, TX 78758",Gong cha,Austin,6/14/2019,Bubble Tea,10/26/2020,3,40,TX,3210 Esperanza Crossing,78758
"11220 N Lamar Blvd,Ste B275,Austin, TX 78753",SnoMo,Austin,4/26/2014,Bubble Tea/Ice Cream & Frozen Yogurt/Shaved Snow,10/20/2020,4,484,TX,11220 N Lamar Blvd,78753
"2021 Guadalupe St,Austin, TX 78705",Gong Cha,Austin,6/9/2018,Bubble Tea,6/12/2020,3,58,TX,2021 Guadalupe St,78705
"10901 N Lamar Blvd,Ste A 104,Austin, TX 78753",Gen bobabee & coffee house,Austin,2/22/2020,Coffee & Tea/Bubble Tea,10/14/2020,4,26,TX,10901 N Lamar Blvd,78753
"1700 W Parmer Ln,Ste 600,Austin, TX 78727",Ding Tea,Austin,11/24/2019,Bubble Tea,10/2/2020,4,45,TX,1700 W Parmer Ln,78727
"4211 S Lamar Blvd,Ste A3,Austin, TX 78704",Zero Degrees,Austin,10/14/2020,Bubble Tea/Coffee & Tea,10/18/2020,3,2,TX,4211 S Lamar Blvd,78704
"2401 East 6th St,Ste 1004,Austin, TX 78702",Ararat ToGo + Coffee Window,Austin,9/10/2019,Coffee & Tea/Middle Eastern,9/16/2020,5,11,TX,2401 East 6th St,78702
"201 University Oaks,Ste 560,Round Rock, TX 78665",Adelyn Bakery Boutique,Round Rock,7/22/2019,Bubble Tea/Bakeries/Coffee & Tea,10/25/2020,5,37,TX,201 University Oaks,78665
"1821 S Lakeline Blvd,Ste 102,Cedar Park, TX 78613",Long Tea Austin,Cedar Park,5/2/2019,Bubble Tea,10/17/2020,4,41,TX,1821 S Lakeline Blvd,78613
"2002 Guadalupe St,Ste B,Austin, TX 78705",K-Bop,Austin,9/16/2016,Korean/Bubble Tea/Juice Bars & Smoothies,10/17/2020,4,184,TX,2002 Guadalupe St,78705
"1910 Guadalupe St,Austin, TX 78705",Coco's Cafe,Austin,6/16/2005,Coffee & Tea/Taiwanese/Bubble Tea,10/18/2020,3,404,TX,1910 Guadalupe St,78705
"10000 Research Blvd,Ste 137,Austin, TX 78759",Teapioca Lounge,Austin,11/4/2017,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,10/11/2020,3,74,TX,10000 Research Blvd,78759
"1906 Guadalupe St,Austin, TX 78705",Tapioca House,Austin,1/25/2007,Taiwanese/Bubble Tea,9/8/2020,3,219,TX,1906 Guadalupe St,78705
"2800 S Ih 35,Round Rock, TX 78681",Ding Tea,Round Rock,6/1/2019,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/9/2020,4,67,TX,2800 S Ih 35,78681
"2525 W Anderson Ln,Bldg 3-132,Austin, TX 78757",Tea Amo,Austin,2/18/2020,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/12/2020,4,24,TX,2525 W Anderson Ln,78757
