address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"2468 N Clark St,Chicago, IL 60614",Taiyaki Chicago,Chicago,5/9/2019,Desserts/Bubble Tea/Ice Cream & Frozen Yogurt,10/30/2020,4,98,IL,2468 N Clark St,60614
"20 E Golf Rd,Schaumburg, IL 60173",Tous Les Jours,Schaumburg,11/20/2015,Coffee & Tea/Bakeries/Desserts,9/24/2020,4,249,IL,20 E Golf Rd,60173
"4999 Old Orchard Ctr,Ste F6,Skokie, IL 60077",Adagio Teas,Skokie,5/14/2011,Coffee & Tea/Tea Rooms,8/14/2020,4,251,IL,4999 Old Orchard Ctr,60077
"4637 N Damen Ave,Chicago, IL 60625",Siam Country,Chicago,8/19/2005,Thai,8/18/2020,4,128,IL,4637 N Damen Ave,60625
"1240 W Dundee Rd,Buffalo Grove, IL 60089",Yofruito,Buffalo Grove,8/29/2013,Ice Cream & Frozen Yogurt/Coffee & Tea/Juice Bars & Smoothies,8/11/2020,3,18,IL,1240 W Dundee Rd,60089
"1971 Bloomingdale Rd,Glendale Heights, IL 60139",Pho Ha,Glendale Heights,8/11/2006,Vietnamese/Coffee & Tea/Breakfast & Brunch,10/24/2020,4,400,IL,1971 Bloomingdale Rd,60139
"5 Woodfield Mall,Ste KI-01,Schaumburg, IL 60173",Chill Bubble Tea,Schaumburg,12/22/2018,Bubble Tea,1/18/2020,5,3,IL,5 Woodfield Mall,60173
"1624 W Belmont Ave,Chicago, IL 60657",Late Night Thai & Sushi,Chicago,8/6/2015,Thai/Sushi Bars/Japanese,9/5/2020,2,99,IL,1624 W Belmont Ave,60657
"1649 E 55th St,Chicago, IL 60615",The Snail Thai Cuisine,Chicago,11/7/2005,Thai/Salad/Soup,8/26/2020,3,252,IL,1649 E 55th St,60615
"1025 Lake St,Oak Park, IL 60301",Poke Burrito,Oak Park,6/22/2018,Poke/Japanese/Hawaiian,10/2/2020,4,74,IL,1025 Lake St,60301
"2453 N Halsted St,Chicago, IL 60614",Noodles In the Pot,Chicago,7/8/2005,Thai/Noodles,10/16/2020,4,701,IL,2453 N Halsted St,60614
"5150 Main St,Downers Grove, IL 60515",Cocomero,Downers Grove,11/21/2012,Ice Cream & Frozen Yogurt/Bubble Tea/Coffee & Tea,9/25/2019,4,48,IL,5150 Main St,60515
"7601 S Cicero Ave,Chicago, IL 60652",Tasty Freeze Rolled Ice Cream and Bubble Tea,Chicago,8/9/2019,Ice Cream & Frozen Yogurt/Bubble Tea/Juice Bars & Smoothies,8/9/2019,3,1,IL,7601 S Cicero Ave,60652
"4953 N Broadway,Chicago, IL 60640",Tank Noodle,Chicago,7/12/2005,Vietnamese/Noodles,11/1/2020,4,1784,IL,4953 N Broadway,60640
"2529 N Milwaukee Ave,Chicago, IL 60647",The Crab Pad,Chicago,7/13/2016,Seafood/Cajun/Creole/Desserts,10/16/2020,4,519,IL,2529 N Milwaukee Ave,60647
"520 Chicago Ridge Mall,Chicago Ridge, IL 60415",Tasty Freeze Custom Gourmet Ice Cream,Chicago Ridge,4/30/2017,Ice Cream & Frozen Yogurt/Bubble Tea/Juice Bars & Smoothies,2/27/2020,4,9,IL,520 Chicago Ridge Mall,60415
"2253 S Wentworth Ave,Chicago, IL 60616",Chiu Quon Bakery & Dim Sum,Chicago,8/27/2005,Bakeries/Dim Sum,10/30/2020,4,359,IL,2253 S Wentworth Ave,60616
"2932 N Broadway St,Chicago, IL 60657",Red Pig Asian Kitchen,Chicago,11/29/2012,Thai,9/26/2020,4,155,IL,2932 N Broadway St,60657
