address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"1204 Central Ave,Ste 102,Charlotte, NC 28204",Sharetea,Charlotte,8/28/2019,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/31/2020,4,92,NC,1204 Central Ave,28204
"3615 Whitehall Park Dr,Ste I,Charlotte, NC 28273",QC Tea Bar,Charlotte,12/21/2017,Coffee & Tea/Desserts/Juice Bars & Smoothies,11/1/2020,4,151,NC,3615 Whitehall Park Dr,28273
"5110 Park Rd,Ste 1-K,Charlotte, NC 28209",Around the World Cafe,Charlotte,6/16/2019,Ice Cream & Frozen Yogurt/Bubble Tea/Desserts,10/12/2020,4,49,NC,5110 Park Rd,28209
"8200 Providence Rd,Ste 1000,,Charlotte, NC 28277",Kung Fu Tea,Charlotte,5/10/2018,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,9/15/2020,4,100,NC,8200 Providence Rd,28277
"440 E McCollough Dr,Charlotte, NC 28262",Tea Fusion Cafe,Charlotte,8/14/2016,Desserts/Bubble Tea/Cafes,10/19/2020,4,237,NC,440 E McCollough Dr,28262
"10039 University City Blvd,Ste L,Charlotte, NC 28213",Quickly Bubble Tea,Charlotte,5/21/2016,Bubble Tea/Juice Bars & Smoothies/Fast Food,9/1/2020,4,83,NC,10039 University City Blvd,28213
"9211 N Tryon St,Ste 5,Charlotte, NC 28262",Binki Cafe,Charlotte,3/15/2019,Bubble Tea/Asian Fusion/Ramen,11/2/2020,4,85,NC,9211 N Tryon St,28262
"8318 Pineville-Matthews Rd,Ste 703,Charlotte, NC 28226",MiGuo Bubble Tea,Charlotte,12/14/2019,Coffee & Tea/Bubble Tea,9/30/2020,4,9,NC,8318 Pineville-Matthews Rd,28226
"4620 Piedmont Row Dr,Ste 170A,Charlotte, NC 28210",Milk Cha-Cha,Charlotte,4/6/2020,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/1/2020,5,55,NC,4620 Piedmont Row Dr,28210
"7211 E Independence Blvd,Charlotte, NC 28227",Pho Huong Que,Charlotte,2/11/2011,Vietnamese,9/2/2020,4,148,NC,7211 E Independence Blvd,28227
"601 S Kings Dr,Ste K,Charlotte, NC 28204",Gong Cha,Charlotte,1/23/2020,Bubble Tea,10/29/2020,4,35,NC,601 S Kings Dr,28204
"1825 S New Hope Rd,Gastonia, NC 28054",BooJa Korean and Japanese Restuarant,Gastonia,8/15/2020,Korean/Japanese,10/27/2020,5,15,NC,1825 S New Hope Rd,28054
"820 Hamilton St,Charlotte, NC 28206",8.2.0 Pizzeria & Bar,Charlotte,8/27/2016,Pizza/Karaoke/Venues & Event Spaces,10/14/2020,4,105,NC,820 Hamilton St,28206
"7221 Waverly Walk Ave,Charlotte, NC 28277",Genji Sushi Bars,Charlotte,9/27/2017,Ramen/Sushi Bars,8/12/2019,3,5,NC,7221 Waverly Walk Ave,28277
