address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"2625 Old Denton Rd,Ste 555,Carrollton, TX 75007",Tiger Sugar,Carrollton,3/3/2020,Bubble Tea/Desserts/Coffee & Tea,11/1/2020,4,162,TX,2625 Old Denton Rd,75007
"3320 K Ave.,Plano, TX 75074",H Mart - Plano,Plano,11/10/2013,Korean/International Grocery/Food Court,11/1/2020,4,204,TX,3320 K Ave.,75074
"400 N Greenville Ave,Ste 11,Richardson, TX 75081",Jeng Chi Restaurant,Richardson,1/15/2006,Bakeries/Chinese/Cocktail Bars,11/1/2020,4,1224,TX,400 N Greenville Ave,75081
"9144 Prestmont Place 220,Frisco, TX 75035",Hiccups And Churroholic,Frisco,3/14/2019,Pan Asian/Asian Fusion/Noodles,10/17/2020,4,246,TX,9144 Prestmont Place 220,75035
"1060 Frankford Rd,Carrollton, TX 75007",Escapé bakery,Carrollton,10/6/2013,Donuts/Bakeries/Bubble Tea,7/31/2019,3,25,TX,1060 Frankford Rd,75007
"1401 W Pipeline Rd,Bedford, TX 76022",Bud’s Sno-Balls And Boba,Bedford,,Bubble Tea,,,,TX,1401 W Pipeline Rd,76022
"2909 W 15th St,Plano, TX 75075",Wu Wei Din Chinese Cuisine,Plano,5/27/2016,Taiwanese/Chinese/Noodles,11/1/2020,4,635,TX,2909 W 15th St,75075
"151 W Spring Creek Pkwy,Ste 517,Plano, TX 75023",Champion Gourmet,Plano,2/26/2016,Bubble Tea/Desserts/Shaved Snow,10/8/2020,4,48,TX,151 W Spring Creek Pkwy,75023
"325 N St Paul St,Ste 3100,Dallas, TX 75201",Daiquiri Duo,Dallas,,Bubble Tea/Coffee & Tea,,,,TX,325 N St Paul St,75201
"8600 Preston Rd,Ste 123,Plano, TX 75024",Kung Fu Tea,Plano,5/22/2017,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,8/10/2020,4,87,TX,8600 Preston Rd,75024
"9292 Warren Pkwy,Ste 200,Frisco, TX 75035",Blackball Taiwanese Desserts,Frisco,5/8/2019,Desserts/Bubble Tea,8/30/2020,4,18,TX,9292 Warren Pkwy,75035
"737 Grapevine Hwy,Hurst, TX 76054",Boba Tea And Flavor Of Asia,Hurst,6/15/2019,Bubble Tea/Cafes,10/31/2020,4,23,TX,737 Grapevine Hwy,76054
"1029 Hickory Creek Blvd,Lake Dallas, TX 75065",Pho Luv,Lake Dallas,9/18/2019,Vietnamese/Bubble Tea/Soup,6/9/2020,3,14,TX,1029 Hickory Creek Blvd,75065
"3933 N Central Expy,Plano, TX 75023",Sharetea,Plano,3/11/2017,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/24/2020,4,174,TX,3933 N Central Expy,75023
"1902 S Lamar St,Dallas, TX 75215",Sandwich Hag,Dallas,9/26/2016,Vietnamese/Coffee & Tea/Sandwiches,10/9/2020,4,134,TX,1902 S Lamar St,75215
"2940 Justin Rd,Unit 100,Highland Village, TX 75077",Teaholic Teahouse & Restaurant,Highland Village,6/15/2019,Coffee & Tea/Juice Bars & Smoothies/Pan Asian,10/28/2020,4,140,TX,2940 Justin Rd,75077
"325 Coneflower Dr,Garland, TX 75040",Vivi Bubble Tea,Garland,8/28/2016,Bubble Tea,7/29/2020,3,60,TX,325 Coneflower Dr,75040
"280 Commerce St,Ste 140,Southlake, TX 76092",Mama Bear Café,Southlake,1/12/2018,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,7/18/2020,4,13,TX,280 Commerce St,76092
