address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"3043 Greene Ave,Fort Worth, TX 76109",Fruitealicious Bubble Tea & Smoothies,Fort Worth,9/22/2013,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,9/10/2020,4,171,TX,3043 Greene Ave,76109
"8949 Tehama Ridge Pkwy,Fort Worth, TX 76177",Sharetea,Fort Worth,4/22/2018,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,9/18/2020,4,106,TX,8949 Tehama Ridge Pkwy,76177
"Fort Worth, TX 76107",Go-Coffee,Fort Worth,8/12/2017,Coffee & Tea/Juice Bars & Smoothies/Acai Bowls,6/11/2020,5,3,TX,"Fort Worth, TX 76107",76107
"4800 S Hulen St,Ste 250,Forth worth, TX 76132",Kokee Tea,Forth worth,12/20/2019,Bubble Tea/Coffee & Tea,2/1/2020,3,4,TX,4800 S Hulen St,76132
"6650 N Beach St,Ste 100,Fort Worth, TX 76137",Gong Cha Fort Worth,Fort Worth,10/16/2019,Bubble Tea,10/18/2020,4,31,TX,6650 N Beach St,76137
"7447 N Macarthur Blvd,Ste 140,Irving, TX 75063",Edohana Sushi,Irving,2/14/2009,Sushi Bars,10/28/2020,4,247,TX,7447 N Macarthur Blvd,75063
"5005 S Cooper St,Ste 159,Arlington, TX 76017",Frieddaze,Arlington,5/6/2018,Seafood/Fast Food/Sandwiches,11/1/2020,4,111,TX,5005 S Cooper St,76017
"2805 E Grapevine Mills Cir,Ste 126,Grapevine, TX 76051",PhoXpress,Grapevine,7/10/2012,Vietnamese,10/3/2020,3,246,TX,2805 E Grapevine Mills Cir,76051
"2525 E Arkansas Ln,Arlington, TX 76010",Phở95 Asian Fusion and Vietnamese,Arlington,7/25/2007,Vietnamese,10/16/2020,3,328,TX,2525 E Arkansas Ln,76010
"2202 New York Ave,Ste 923,Arlington, TX 76010",Yen's Cafe,Arlington,4/19/2017,Vietnamese/Cafes,8/9/2020,4,42,TX,2202 New York Ave,76010
"9147 Grapevine Hwy,Ste 400,North Richland Hills, TX 76180",Hong Kong Express,North Richland Hills,3/3/2008,Chinese/Bubble Tea,9/30/2020,4,81,TX,9147 Grapevine Hwy,76180
"3811 S Cooper St,Ste 2052,Arlington, TX 76015",Kokee Tea,Arlington,1/29/2020,Bubble Tea/Coffee & Tea,2/2/2020,1,2,TX,3811 S Cooper St,76015
"5307 Colleyville Blvd,Ste 120,Colleyville, TX 76034",My Lan Vietnamese Kitchen,Colleyville,9/28/2019,Vietnamese/Coffee & Tea/Bubble Tea,10/30/2020,4,135,TX,5307 Colleyville Blvd,76034
"2816 Central Dr,Ste 145,Bedford, TX 76021",Hole-y Boba & Donuts,Bedford,8/20/2017,Donuts/Bubble Tea/Desserts,9/12/2020,3,78,TX,2816 Central Dr,76021
"3556 Highway 114,Ste 402,Fort Worth, TX 76177",Champ Donut,Fort Worth,9/21/2019,Donuts/Bubble Tea/Coffee & Tea,10/31/2020,4,29,TX,3556 Highway 114,76177
"2425 SE Green Oaks Blvd,Ste 115,Arlington, TX 76018",Ding Tea Arlington,Arlington,12/18/2018,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/26/2020,4,177,TX,2425 SE Green Oaks Blvd,76018
"3301 NE 28th St,Fort Worth, TX 76111",Sikhay Thai Lao Cuisine,Fort Worth,11/11/2012,Thai/Bubble Tea/Laotian,10/13/2020,4,442,TX,3301 NE 28th St,76111
"7630 N Beach St,Ste 110,Fort Worth, TX 76137",Banh Mi Viet,Fort Worth,8/27/2017,Vietnamese/Sandwiches/Bubble Tea,9/19/2020,4,196,TX,7630 N Beach St,76137
"7355 N Beach St,Ste 101,Fort Worth, TX 76137",Noodles @ Boba Tea House,Fort Worth,8/15/2007,Vietnamese/Bubble Tea,10/27/2020,3,369,TX,7355 N Beach St,76137
"4954 Overton Ridge Blvd,Fort Worth, TX 76132",Pho & Grill,Fort Worth,8/1/2014,Vietnamese,10/28/2020,4,351,TX,4954 Overton Ridge Blvd,76132
"4025 E Belknap St,Ste A,Haltom City, TX 76111",Boba Tea House,Haltom City,9/3/2008,Coffee & Tea,10/23/2020,3,75,TX,4025 E Belknap St,76111
"3610 S Cooper St,Ste 110B,Arlington, TX 76015",1102 Bubble Tea & Bites,Arlington,9/30/2016,Desserts/Bubble Tea/Coffee & Tea,11/1/2020,4,326,TX,3610 S Cooper St,76015
"3980 Boat Club Rd,Ste 109,Fort Worth, TX 76135",Mint For You,Fort Worth,9/30/2018,Bubble Tea/Ice Cream & Frozen Yogurt/Creperies,10/9/2020,4,64,TX,3980 Boat Club Rd,76135
"4654 S Cooper St,Ste 340,Arlington, TX 76017",Royal Tea,Arlington,6/13/2017,Coffee & Tea/Cafes,10/26/2020,4,155,TX,4654 S Cooper St,76017
"7451 N Beach St,Ste 180,Fort Worth, TX 76137",Feng Cha -North Fort Worth,Fort Worth,6/14/2020,Bubble Tea/Coffee & Tea/Desserts,10/4/2020,4,19,TX,7451 N Beach St,76137
"1807 N Collins St,Ste 111,Arlington, TX 76011",Zero Degrees,Arlington,6/19/2018,Bubble Tea/Coffee & Tea/Chicken Wings,10/6/2020,4,357,TX,1807 N Collins St,76011
"3204 Winthrop Ave,Fort Worth, TX 76116",1102 Bubble Tea & Coffee,Fort Worth,,Bubble Tea/Coffee & Tea,,,,TX,3204 Winthrop Ave,76116
"3701 S Cooper St,Ste 125,Arlington, TX 76015",Feng Cha - Arlington,Arlington,11/11/2018,Bubble Tea/Desserts/Coffee & Tea,9/22/2020,4,96,TX,3701 S Cooper St,76015
"4220 W Vickery Blvd,Fort Worth, TX 76107",Panda Tea,Fort Worth,,Bubble Tea,,,,TX,4220 W Vickery Blvd,76107
"705 W Park Row Dr,Arlington, TX 76013",Bethany Boba Tea & Cafe,Arlington,7/16/2008,Chinese/Juice Bars & Smoothies/Bubble Tea,10/28/2020,4,567,TX,705 W Park Row Dr,76013
"2601 Flower Mound Rd,Ste 111,Flower Mound, TX 75028",Snowy Bingsu,Flower Mound,10/20/2017,Shaved Ice/Coffee & Tea/Bubble Tea,10/20/2020,4,57,TX,2601 Flower Mound Rd,75028
"9500 Ray White Rd,Ste 127,Fort Worth, TX 76244",Wild Blueberries,Fort Worth,10/3/2014,Bubble Tea/Ice Cream & Frozen Yogurt/Coffee & Tea,9/26/2020,4,44,TX,9500 Ray White Rd,76244
"2211 W Berry S,Fort Worth, TX 76110",Manna Donuts Tcu,Fort Worth,8/11/2016,Cafes/Bakeries/Bubble Tea,10/24/2020,4,2,TX,2211 W Berry S,76110
"4957 S Hulen St,Fort Worth, TX 76132",Manna Donut,Fort Worth,7/2/2013,Donuts,5/26/2020,4,9,TX,4957 S Hulen St,76132
"4023 E Belknap St,Ste B,Haltom City, TX 76111",Bun Dong Ba - Vietnamese Noodle House,Haltom City,2/23/2014,Vietnamese/Noodles/Bubble Tea,8/6/2020,4,149,TX,4023 E Belknap St,76111
"614 W Park Row Dr,Arlington, TX 76010",Unitea Bubble Tea,Arlington,10/11/2017,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,10/29/2020,4,82,TX,614 W Park Row Dr,76010
"3810 S Cooper St,Ste 148,Arlington, TX 76015",Sharetea,Arlington,6/24/2017,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,7/18/2020,4,158,TX,3810 S Cooper St,76015
"6399 Camp Bowie Blvd,Fort Worth, TX 76116",Pho Hung,Fort Worth,4/5/2015,Vietnamese/Soup,10/28/2020,4,150,TX,6399 Camp Bowie Blvd,76116
"1301 W Glade Rd,Ste 194,Euless, TX 76039",iTea Lounge,Euless,9/30/2013,Coffee & Tea/Juice Bars & Smoothies,10/11/2020,4,127,TX,1301 W Glade Rd,76039
"3322B E Belknap St,Fort Worth, TX 76111",Boba Tea By Lao Music VDO,Fort Worth,,Bubble Tea,,,,TX,3322B E Belknap St,76111
"1930 N Story Rd,Irving, TX 75061",Wings N Tings,Irving,9/12/2019,Chicken Wings/Bubble Tea,8/5/2020,3,4,TX,1930 N Story Rd,75061
"9127 TX-26,Ste 130,North Richland Hills, TX 76180",Bobaddiction North Richland Hills,North Richland Hills,8/23/2018,Bubble Tea/Coffee & Tea/Food Trucks,10/19/2020,3,40,TX,9127 TX-26,76180
"291 E Round Grove Rd,Ste 190,Lewisville, TX 75067",Boba World,Lewisville,8/25/2013,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/10/2020,3,119,TX,291 E Round Grove Rd,75067
"3141 E Broad St,Ste 109,Mansfield, TX 76063",Sharetea,Mansfield,3/24/2019,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,8/21/2020,4,41,TX,3141 E Broad St,76063
"11477 Woodland Springs Dr,Ste 140,Keller, TX 76244",Keller Donuts & Munchies,Keller,12/28/2012,Donuts/Desserts,11/14/2019,4,26,TX,11477 Woodland Springs Dr,76244
"737 Grapevine Hwy,Hurst, TX 76054",Boba Tea And Flavor Of Asia,Hurst,6/15/2019,Bubble Tea/Cafes,10/31/2020,4,23,TX,737 Grapevine Hwy,76054
"280 Commerce St,Ste 140,Southlake, TX 76092",Mama Bear Café,Southlake,1/12/2018,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,7/18/2020,4,13,TX,280 Commerce St,76092
"9440 Clifford Rd,Fort Worth, TX 76108",Pho House,Fort Worth,11/29/2016,Vietnamese/Soup,10/16/2020,4,96,TX,9440 Clifford Rd,76108
"8577 N Beach St,Keller, TX 76244",Thai Rice N Noodle,Keller,9/24/2009,Thai/Noodles,10/14/2020,4,216,TX,8577 N Beach St,76244
"775 Grapevine Hwy,Ste 250,Hurst, TX 76054",Ono Poke,Hurst,2/4/2019,Salad/Poke,11/1/2020,4,111,TX,775 Grapevine Hwy,76054
"6700 Denton Hwy,Ste A,Watauga, TX 76148",Pho A & A,Watauga,3/24/2016,Vietnamese/Asian Fusion/Bubble Tea,2/4/2020,4,129,TX,6700 Denton Hwy,76148
"2940 Justin Rd,Unit 100,Highland Village, TX 75077",Teaholic Teahouse & Restaurant,Highland Village,6/15/2019,Coffee & Tea/Juice Bars & Smoothies/Pan Asian,10/28/2020,4,140,TX,2940 Justin Rd,75077
"1401 W Pipeline Rd,Bedford, TX 76022",Bud’s Sno-Balls And Boba,Bedford,,Bubble Tea,,,,TX,1401 W Pipeline Rd,76022
