address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"9742 Katy Fwy,Ste 400,Houston, TX 77055",Sharetea,Houston,11/15/2019,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/29/2020,4,38,TX,9742 Katy Fwy,77055
"3418 Broadway St,Houston, TX 77017",Pho Broadway Noodle Soup,Houston,12/12/2011,Vietnamese/Noodles/Seafood,10/16/2020,3,37,TX,3418 Broadway St,77017
"11710 Broadway St,Ste 118,Pearland, TX 77584",La Paire,Pearland,7/18/2020,Sandwiches/Bubble Tea/Vietnamese,10/18/2020,4,36,TX,11710 Broadway St,77584
"304 Bay Area Blvd,Ste 200,Webster, TX 77598",Kung Fu Tea,Webster,5/20/2018,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,8/31/2020,4,106,TX,304 Bay Area Blvd,77598
"29300 Hempstead Rd,Houston Premium Outlets,Cypress, TX 77433",Infuzion Bubble Tea Bar,Cypress,2/25/2018,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,2/3/2020,4,4,TX,29300 Hempstead Rd,77433
"10541 Fm 1960,Ste 260B,Houston, TX 77070",R Tea Zone,Houston,9/25/2018,Bubble Tea/Juice Bars & Smoothies,10/12/2020,4,28,TX,10541 Fm 1960,77070
"10625 Veterans Memorial Dr,Ste H,Houston, TX 77038",Banh Mi No 1,Houston,,Sandwiches/Bubble Tea,,,,TX,10625 Veterans Memorial Dr,77038
"7119 Fm 1464 Rd,Ste 180,Richmond, TX 77407",Mai's Teahouse,Richmond,11/23/2016,Sandwiches/Juice Bars & Smoothies/Bubble Tea,10/27/2020,4,126,TX,7119 Fm 1464 Rd,77407
"19865 Nw Fwy,Houston, TX 77065",Ahi Poke,Houston,9/27/2018,Poke/Bubble Tea,10/28/2020,4,90,TX,19865 Nw Fwy,77065
"13606 Bellaire Blvd,Ste B3,Houston, TX 77083",Taphouse 88,Houston,10/1/2016,Bubble Tea/Taiwanese/Juice Bars & Smoothies,7/27/2020,4,16,TX,13606 Bellaire Blvd,77083
"5716 Fairmont Pkwy,Pasadena, TX 77505",Ahi Poke,Pasadena,1/8/2019,Poke/Bubble Tea,10/12/2020,4,82,TX,5716 Fairmont Pkwy,77505
"2805A S Gulf Fwy,League City, TX 77573",Gotcha Boba,League City,3/19/2020,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,9/29/2020,4,9,TX,2805A S Gulf Fwy,77573
