address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"10150 Beach Blvd,Ste 7,Jacksonville, FL 32246",Tsaocaa,Jacksonville,7/27/2019,Bubble Tea/Juice Bars & Smoothies,11/1/2020,4,98,FL,10150 Beach Blvd,32246
"11925 Beach Blvd,Ste 201,Jacksonville, FL 32246",Treata Tea Shoppe,Jacksonville,1/28/2020,Bubble Tea,10/25/2020,4,13,FL,11925 Beach Blvd,32246
"12041 Beach Blvd,Ste 12,Jacksonville, FL 32246",Mumuyi Bakery,Jacksonville,8/15/2020,Desserts/Bubble Tea/Bakeries,10/14/2020,4,15,FL,12041 Beach Blvd,32246
"5111 Baymeadows Rd,Ste 12,Jacksonville, FL 32217",Aroma Corner,Jacksonville,1/5/2008,Coffee & Tea/Bakeries/Breakfast & Brunch,7/3/2020,4,173,FL,5111 Baymeadows Rd,32217
"1661 Riverside Ave,Ste 123,Jacksonville, FL 32204",Tutem Tea,Jacksonville,8/16/2020,Bubble Tea,10/25/2020,5,13,FL,1661 Riverside Ave,32204
"11380 Beach Blvd,Ste 20,Jacksonville, FL 32246",Q-Cup Boba Tea,Jacksonville,12/20/2012,Vietnamese/Sandwiches/Bubble Tea,10/24/2020,4,182,FL,11380 Beach Blvd,32246
"12192 Beach Blvd,Ste 2,Jacksonville, FL 32246",OMG Cafe & Tea,Jacksonville,3/5/2019,Bubble Tea/Ice Cream & Frozen Yogurt,8/16/2020,4,60,FL,12192 Beach Blvd,32246
"12630 Beach Blvd,Ste 1,Jacksonville, FL 32246",Kung Fu Tea,Jacksonville,3/12/2017,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/29/2020,4,136,FL,12630 Beach Blvd,32246
"9501 Arlington Expy,Unit 865,Regency Square Mall,Jacksonville, FL 32225",Boba Blends,Jacksonville,3/10/2009,Coffee & Tea/Bubble Tea,6/7/2020,4,23,FL,9501 Arlington Expy,32225
"1810 Town Center Blvd,Fleming Island, FL 32003",Saigon Wok,Fleming Island,7/6/2018,Chinese/Vietnamese,9/1/2020,5,43,FL,1810 Town Center Blvd,32003
"13500 Beach Blvd,Ste 28,Jacksonville, FL 32224",Tutem Tea,Jacksonville,2/20/2019,Coffee & Tea,,4,116,FL,13500 Beach Blvd,32224
"1305 N Orange Ave,Ste 126,Green Cove Springs, FL 32043",Pan Asian Sushi Bar and Grill,Green Cove Springs,1/27/2014,Sushi Bars/Pan Asian,7/13/2020,4,51,FL,1305 N Orange Ave,32043
"1447 Mayport Rd,Ste 5,Atlantic Beach, FL 32233",Pho Viet,Atlantic Beach,7/11/2011,Vietnamese/Soup,10/29/2020,4,165,FL,1447 Mayport Rd,32233
"4660 US Hwy 1 N,St. Augustine, FL 32095",Hong Kong Cafe,St. Augustine,9/28/2014,Cantonese/Dim Sum,9/24/2020,4,156,FL,4660 US Hwy 1 N,32095
"1540 Wells Rd,Ste 11,Orange Park, FL 32073",Manila Thai,Orange Park,3/15/2014,Thai/Filipino,11/3/2020,4,162,FL,1540 Wells Rd,32073
"1975 Wells Rd,Orange Park, FL 32073",Little Saigon Cafe,Orange Park,,Vietnamese/Soup/Bubble Tea,10/6/2020,4,145,FL,1975 Wells Rd,32073
"10550 Old St Augustine Rd,Ste 2,Jacksonville, FL 32257",Miya Sushi,Jacksonville,8/22/2017,Sushi Bars/Japanese,8/29/2020,4,122,FL,10550 Old St Augustine Rd,32257
"11885 Atlantic Blvd,Jacksonville, FL 32225",Jollibee,Jacksonville,2/27/2017,Filipino/Burgers/Chicken Shop,10/25/2020,3,294,FL,11885 Atlantic Blvd,32225
"10584 Old St Augustine Rd,Unit 10,Jacksonville, FL 32257",SEASONS Dumpling,Jacksonville,5/5/2018,Taiwanese,10/28/2020,4,266,FL,10584 Old St Augustine Rd,32257
"10584 Old Saint Augustine Rd,Jacksonville, FL 32257",Jax Oriental Market,Jacksonville,5/31/2009,Grocery/Specialty Food,10/25/2020,4,70,FL,10584 Old Saint Augustine Rd,32257
"9902 Old Baymeadows Rd,Jacksonville, FL 32256",Bowl of Pho,Jacksonville,10/17/2009,Vietnamese/Soup/Noodles,10/7/2020,4,592,FL,9902 Old Baymeadows Rd,32256
"5024 Blanding Blvd,Jacksonville, FL 32210",Pho 99 Vietnamese Grill,Jacksonville,9/19/2013,Vietnamese/Soup/Bubble Tea,10/17/2020,4,141,FL,5024 Blanding Blvd,32210
"11757 Beach Blvd,Ste 9,Jacksonville, FL 32246",Aroma Corner,Jacksonville,6/4/2012,Coffee & Tea/Desserts,9/20/2020,4,100,FL,11757 Beach Blvd,32246
