address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"10923 Weyburn Ave,Los Angeles, CA 90024",Meet Fresh - Westwood,Los Angeles,,Desserts/Shaved Ice/Bubble Tea,,,,CA,10923 Weyburn Ave,90024
"10533 Garvey Ave,Ste C,El Monte, CA 91733",Ono Tea House,El Monte,8/6/2020,Bubble Tea/Juice Bars & Smoothies/Coffee & Tea,10/22/2020,4,29,CA,10533 Garvey Ave,91733
"3829 Main St,Culver City, CA 90232",Ms Chi Cafe,Culver City,10/6/2018,Chinese/Breakfast & Brunch/Bubble Tea,10/30/2020,4,321,CA,3829 Main St,90232
"700 Wilshire Blvd,Ste A,Los Angeles, CA 90017",85°C Bakery Cafe,Los Angeles,6/10/2016,Coffee & Tea/Bakeries/Patisserie/Cake Shop,9/22/2020,3,325,CA,700 Wilshire Blvd,90017
"1635 S San Gabriel Blvd,Ste E,San Gabriel, CA 91776",Au79 Teahouse,San Gabriel,,Taiwanese/Coffee & Tea/Bubble Tea,10/31/2020,3,821,CA,1635 S San Gabriel Blvd,91776
"8338 Lincoln Blvd,Los Angeles, CA 90045",Sustainabowl,Los Angeles,4/14/2018,Poke/Acai Bowls/Vegan,11/1/2020,4,384,CA,8338 Lincoln Blvd,90045
"18 W Green St,Pasadena, CA 91105",Jin Tea Shop,Pasadena,9/15/2015,Tea Rooms,10/30/2020,4,494,CA,18 W Green St,91105
"6540 Foothill Blvd,Ste 101,Tujunga, CA 91042",5.2 Patio,Tujunga,,Bubble Tea/Desserts/Coffee & Tea,10/13/2020,4,,CA,6540 Foothill Blvd,91042
"605 N New Ave,Ste B,Monterey Park, CA 91755",Twisteas,Monterey Park,7/30/2017,Bubble Tea/Tea Rooms,,4,,CA,605 N New Ave,91755
"2848 W Olympic Blvd,Los Angeles, CA 90006",It's Boba Time,Los Angeles,,Juice Bars & Smoothies/Coffee & Tea/Bubble Tea,10/22/2020,3,78,CA,2848 W Olympic Blvd,90006
"720 N Brookhurst St,Anaheim, CA 92801",Bobe Boba,Anaheim,9/20/2020,Bubble Tea,10/29/2020,4,14,CA,720 N Brookhurst St,92801
"853 N Broadway,Los Angeles, CA 90012",Gigo's Cafe & Deli,Los Angeles,10/21/2010,Coffee & Tea/Vietnamese/Noodles,9/24/2020,4,319,CA,853 N Broadway,90012
"800 W Las Tunas Dr,Ste 100,San Gabriel, CA 91776",Bubble Republic,San Gabriel,4/29/2016,Taiwanese/Cafes/Bubble Tea,10/31/2020,4,,CA,800 W Las Tunas Dr,91776
"854 N Vermont Ave,Los Angeles, CA 90029",Hana Kitchen,Los Angeles,3/26/2019,Asian Fusion/Bubble Tea/Tacos,8/9/2020,4,60,CA,854 N Vermont Ave,90029
"13320 Burbank Blvd,Van Nuys, CA 91401",Emperor Express,Van Nuys,3/30/2008,Chinese/Bubble Tea/Asian Fusion,10/5/2020,3,275,CA,13320 Burbank Blvd,91401
"2661 Santa Ana St,South Gate, CA 90280",Urban Location Boba Tea House,South Gate,6/8/2020,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/9/2020,3,38,CA,2661 Santa Ana St,90280
"1 W Duate Rd,Ste A,Arcadia, CA 91007",Tea Brick,Arcadia,4/18/2020,Bubble Tea/Coffee & Tea,10/20/2020,4,70,CA,1 W Duate Rd,91007
"8323 Reseda Blvd,Ste 103,Northridge, CA 91324",The Boba Truck,Northridge,10/3/2010,Taiwanese/Bubble Tea/Food Trucks,10/3/2020,4,,CA,8323 Reseda Blvd,91324
"101 W Foothill Blvd,Monrovia, CA 91016",Boba Box,Monrovia,6/15/2020,Coffee & Tea/Bubble Tea/Tea Rooms,10/31/2020,4,147,CA,101 W Foothill Blvd,91016
"954 Mission St,South Pasadena, CA 91030",Simplee Boba,South Pasadena,,Bubble Tea/Desserts/Coffee & Tea,11/1/2020,4,,CA,954 Mission St,91030
