address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"32-02 34th Ave,Astoria, NY 11106",Tea and Milk,Astoria,8/26/2013,Coffee & Tea/Bubble Tea/Cafes,11/1/2020,4,412,NY,32-02 34th Ave,11106
"18 E 41st St,New York, NY 10017",Tomiz,New York,2/14/2006,Japanese/Desserts/Cafes,10/11/2020,4,1191,NY,18 E 41st St,10017
"40-36 75th St,Elmhurst, NY 11373",Bobba Hubba,Elmhurst,7/13/2019,Bubble Tea,9/2/2020,4,18,NY,40-36 75th St,11373
"475 B Myrtle Ave,Brooklyn, NY 11205",JJ Kitchen,Brooklyn,6/17/2017,Chinese,3/25/2020,4,17,NY,475 B Myrtle Ave,11205
"76-23 Woodside Ave,Elmhurst, NY 11377",Tea Cup Cafe,Elmhurst,4/17/2013,Coffee & Tea/Desserts/Thai,10/25/2020,4,122,NY,76-23 Woodside Ave,11377
"1700 2nd Ave,New York, NY 10128",Vietnaam,New York,1/29/2014,Vietnamese/Sandwiches/Soup,10/20/2020,4,800,NY,1700 2nd Ave,10128
"358 W 47th St,New York, NY 10036",UT47,New York,1/20/2018,Coffee & Tea/Breakfast & Brunch/Vegan,10/30/2020,4,235,NY,358 W 47th St,10036
"37-01 82nd St,Jackson Heights, NY 11372",Coco Fresh Tea & Juice,Jackson Heights,7/31/2016,Coffee & Tea/Juice Bars & Smoothies,10/26/2020,4,21,NY,37-01 82nd St,11372
"646 9th Ave,New York, NY 10036",CoCo Fresh Tea & Juice,New York,10/19/2018,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,9/3/2020,3,27,NY,646 9th Ave,10036
"333 6th Ave,New York, NY 10014",Cool Fresh Juice Bar,New York,7/25/2017,Juice Bars & Smoothies/Acai Bowls/Bubble Tea,10/29/2020,4,37,NY,333 6th Ave,10014
"17 Newkirk Plz,Flatbush - Ditmas Park, NY 11226",Newkirk Fruit,Flatbush - Ditmas Park,8/28/2014,Bubble Tea/Juice Bars & Smoothies,7/12/2020,4,25,NY,17 Newkirk Plz,11226
"7002 Fort Hamilton Pkwy,Brooklyn, NY 11228",Shan Xi Snack,Brooklyn,7/30/2020,Burgers/Bubble Tea/Noodles,10/23/2020,3,12,NY,7002 Fort Hamilton Pkwy,11228
"284 3rd Ave,New York, NY 10010",Yaya Tea Garden,New York,9/4/2017,Bubble Tea/Japanese/Specialty Food,9/25/2020,3,83,NY,284 3rd Ave,10010
"15 W 32nd St,New York, NY 10001",Macao Imperial Tea,New York,8/20/2019,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/24/2020,4,63,NY,15 W 32nd St,10001
"70-10 Austin St,Ste 3,Forest Hills, NY 11375",Kung Fu Tea,Forest Hills,4/7/2013,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/16/2020,3,146,NY,70-10 Austin St,11375
"2236 Forest Ave,Ste 3,Staten Island, NY 10303",Yummy Machi,Staten Island,9/5/2013,Japanese/Bubble Tea/Chicken Wings,10/10/2020,4,69,NY,2236 Forest Ave,10303
"1396 B Forest Ave,Staten Island, NY 10302",Boba Le Tea Cafe,Staten Island,8/1/2019,Bubble Tea/Poke/Cafes,9/6/2020,5,25,NY,1396 B Forest Ave,10302
"6609 Fort Hamilton Pkwy,Brooklyn, NY 11219",Teadora,Brooklyn,10/25/2017,Bubble Tea/Tabletop Games,10/1/2020,4,74,NY,6609 Fort Hamilton Pkwy,11219
"64 7th Ave,New York, NY 10011",MomenTea,New York,1/11/2018,Poke/Bubble Tea/Sushi Bars,8/29/2020,4,151,NY,64 7th Ave,10011
"135-03A Roosevelt Ave,Flushing, NY 11354",YanYan Tea,Flushing,9/28/2019,Bubble Tea,10/23/2020,4,34,NY,135-03A Roosevelt Ave,11354
"858 Lexington Ave,New York, NY 10065",Panda Bubble Tea,New York,1/17/2014,Bubble Tea/Taiwanese/Creperies,3/4/2020,3,182,NY,858 Lexington Ave,10065
"12 John St,New York, NY 10038",CoCo Fresh Tea & Juice,New York,8/22/2014,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,9/11/2020,3,106,NY,12 John St,10038
"1268 Amsterdam Ave,Ste B,New York, NY 10027",mellow tea,New York,11/5/2018,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,7/10/2020,4,25,NY,1268 Amsterdam Ave,10027
"68 Cooper Sq,New York, NY 10003",The Alley,New York,6/15/2019,Taiwanese/Coffee & Tea/Bubble Tea,10/30/2020,3,150,NY,68 Cooper Sq,10003
"86 5th Ave,Brooklyn, NY 11217",Mr. Wish,Brooklyn,8/24/2017,Bubble Tea/Juice Bars & Smoothies/Tea Rooms,10/14/2020,4,67,NY,86 5th Ave,11217
"1712 86th St,Brooklyn, NY 11214",Gotcha Cafe,Brooklyn,8/8/2019,Bubble Tea,8/31/2020,4,38,NY,1712 86th St,11214
"134 Smith St,Brooklyn, NY 11201",Hanco's,Brooklyn,1/31/2007,Vietnamese/Bubble Tea/Coffee & Tea,9/30/2020,4,688,NY,134 Smith St,11201
"35-16 Ditmars Blvd,Astoria, NY 11105",Vivi Bubble Tea,Astoria,10/11/2015,Bubble Tea/Tea Rooms,10/17/2020,4,100,NY,35-16 Ditmars Blvd,11105
"226 E 14th St,New York, NY 10003",ViVi Bubble Tea,New York,5/4/2014,Taiwanese/Bubble Tea/Coffee & Tea,7/18/2020,3,144,NY,226 E 14th St,10003
"532B Forest Ave,Staten Island, NY 10310",ViVi Bubble Tea,Staten Island,7/13/2018,Bubble Tea,7/15/2020,4,36,NY,532B Forest Ave,10310
"79 Division St,New York, NY 10002",Coco Fresh Tea & Juice,New York,12/11/2013,Bubble Tea/Juice Bars & Smoothies,3/21/2020,4,69,NY,79 Division St,10002
"341 E 78th St,New York, NY 10075",Sashimi Ramen Express,New York,9/23/2015,Sushi Bars/Bubble Tea/Ramen,10/15/2020,4,314,NY,341 E 78th St,10075
"67 Bayard St,New York, NY 10013",Yifang Taiwan Fruit Tea,New York,6/14/2019,Bubble Tea,10/24/2020,3,98,NY,67 Bayard St,10013
"55 Bayard St,New York, NY 10013",Bubbly Tea,New York,6/30/2011,Bubble Tea,9/11/2020,4,289,NY,55 Bayard St,10013
"674 Lexington Ave,New York, NY 10022",Juicy Cube,New York,6/21/2012,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,10/30/2020,4,214,NY,674 Lexington Ave,10022
"36-56 Main St,Flushing, NY 11354",M Tea,Flushing,10/11/2019,Bubble Tea/Desserts/Juice Bars & Smoothies,11/1/2020,3,71,NY,36-56 Main St,11354
"239 W 72nd St,New York, NY 10023",Tea Magic,New York,11/28/2018,Bubble Tea,8/4/2020,4,24,NY,239 W 72nd St,10023
"2810 Broadway,New York, NY 10025",Gong Cha,New York,9/2/2018,Bubble Tea,9/11/2020,4,32,NY,2810 Broadway,10025
"69 Cooper Sq,New York, NY 10003",Moge Tee,New York,10/13/2018,Coffee & Tea,10/3/2020,4,100,NY,69 Cooper Sq,10003
"52 Jay St,Brooklyn, NY 11201",Boba Dumbo,Brooklyn,12/3/2019,Bubble Tea/Ice Cream & Frozen Yogurt/Coffee & Tea,8/23/2020,4,15,NY,52 Jay St,11201
"33 St Marks Pl,New York, NY 10003",Yifang Taiwan Fruit Tea,New York,9/9/2019,Bubble Tea/Tea Rooms,10/30/2020,3,34,NY,33 St Marks Pl,10003
"8121 Broadway,Elmhurst, NY 11373",Boba Fries,Elmhurst,8/30/2019,Bubble Tea/Fast Food,10/17/2020,4,52,NY,8121 Broadway,11373
