address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"468 W Cheltenham Ave,Philadelphia, PA 19126",Café Soho,Philadelphia,1/9/2008,Korean/Asian Fusion/Chicken Wings,10/30/2020,4,758,PA,468 W Cheltenham Ave,19126
"1508 Sansom St,Philadelphia, PA 19102",Su Xing House,Philadelphia,3/7/2007,Chinese/Kosher,10/28/2020,4,401,PA,1508 Sansom St,19102
"1715 Chestnut St,Philadelphia, PA 19103",Ten Asian Food Hall,Philadelphia,4/20/2019,Asian Fusion,9/25/2020,3,63,PA,1715 Chestnut St,19103
"525 Washington Ave,Philadelphia, PA 19147",Tu's Tea & Banh Mi South Philly,Philadelphia,9/1/2016,Vietnamese/Sandwiches/Noodles,9/26/2020,4,68,PA,525 Washington Ave,19147
"3737 Chestnut St,Philadelphia, PA 19104",Poké-Man,Philadelphia,8/29/2017,Poke,,3,126,PA,3737 Chestnut St,19104
"52 N 10th St,Philadelphia, PA 19107",Yummy Yummy,Philadelphia,11/22/2009,Chinese/Desserts,10/19/2020,4,142,PA,52 N 10th St,19107
"1327 Darby Rd,Havertown, PA 19083",Sippy's Bubble Tea,Havertown,7/16/2018,Coffee & Tea/Bubble Tea,2/26/2019,4,5,PA,1327 Darby Rd,19083
"3205 Concord Pike,Wilmington, DE 19803",Bubble Shack,Wilmington,3/3/2018,Vietnamese/Bubble Tea/Asian Fusion,10/31/2020,4,85,DE,3205 Concord Pike,19803
"7050 Terminal Square,Fl 2,Upper Darby, PA 19082",Mr Wish - Upper Darby,Upper Darby,9/29/2019,Bubble Tea/Juice Bars & Smoothies,10/23/2020,2,18,PA,7050 Terminal Square,19082
"1129 Old York Rd,Abington, PA 19001",Kung Fu Tea,Abington,1/11/2019,Bubble Tea/Juice Bars & Smoothies/Coffee & Tea,5/28/2020,4,54,PA,1129 Old York Rd,19001
"7036 Terminal Sq,Upper Darby, PA 19082",Anh Hong Pho & Cafe,Upper Darby,3/29/2009,Cafes/Vietnamese,8/31/2020,4,119,PA,7036 Terminal Sq,19082
"1265A Woodbourne Rd,Levittown, PA 19057",Mr Wish,Levittown,6/21/2020,Bubble Tea,,5,9,PA,1265A Woodbourne Rd,19057
"1533 Old York Rd,Abington, PA 19001",Ban Ban Asian Bistro,Abington,1/12/2016,Asian Fusion/Bubble Tea/Sushi Bars,10/18/2020,3,173,PA,1533 Old York Rd,19001
"7260 Frankford Ave,Ste B,Philadelphia, PA 19149",Ice Moon,Philadelphia,,Ice Cream & Frozen Yogurt/Coffee & Tea/Juice Bars & Smoothies,10/1/2020,4,24,PA,7260 Frankford Ave,19149
"1840 E Passyunk Ave,Philadelphia, PA 19148",Big Catch Poke,Philadelphia,12/19/2019,Bubble Tea/Poke/Juice Bars & Smoothies,10/6/2020,4,33,PA,1840 E Passyunk Ave,19148
"192 William Dalton Dr,Glassboro, NJ 08028",Vivi Bubble Tea,Glassboro,4/11/2019,Ice Cream & Frozen Yogurt/Bubble Tea,9/1/2020,4,27,NJ,192 William Dalton Dr,08028
"6840 Bustleton Ave,Philadelphia, PA 19149",Kc's Pastries Northeast,Philadelphia,3/4/2011,Bakeries/Coffee & Tea/Bubble Tea,9/25/2020,4,22,PA,6840 Bustleton Ave,19149
