address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"1702 W Camelback Rd,Phoenix, AZ 85015",Milk Run,Phoenix,6/14/2017,Coffee & Tea/Bubble Tea/Ice Cream & Frozen Yogurt,10/29/2020,4,469,AZ,1702 W Camelback Rd,85015
"914 E Camelback Rd,Unit 4B,Phoenix, AZ 85014",Snoh Ice Shavery,Phoenix,4/30/2013,Shaved Ice/Desserts/Bubble Tea,10/5/2020,4,720,AZ,914 E Camelback Rd,85014
"10720 W Indian School Rd,Ste 79,Phoenix, AZ 85037",M T The Boba Bar,Phoenix,5/14/2018,Coffee & Tea/Bubble Tea/Desserts,10/30/2020,4,168,AZ,10720 W Indian School Rd,85037
"21001 North Tatum Blvd,Ste 36-1230,Phoenix, AZ 85050",Sharetea,Phoenix,9/27/2019,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/25/2020,4,75,AZ,21001 North Tatum Blvd,85050
"3624 E Bell Rd,Unit C,Phoenix, AZ 85032",Dingle Berries Coffee Tea & Juice,Phoenix,6/30/2020,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,10/11/2020,5,51,AZ,3624 E Bell Rd,85032
"4700 N Central Ave,Ste 105,Phoenix, AZ 85012",Scooptopia,Phoenix,8/15/2019,Ice Cream & Frozen Yogurt/Bubble Tea/Shaved Ice,10/30/2020,5,121,AZ,4700 N Central Ave,85012
"1301 E University Dr,Tempe, AZ 85281",Republic Ramen + Noodles,Tempe,4/6/2010,Ramen/Noodles,10/25/2020,3,730,AZ,1301 E University Dr,85281
"15111 N Hayden Rd,Ste 110,Scottsdale, AZ 85260",Saigon Nites Vietnamese Cuisine,Scottsdale,1/23/2008,Vietnamese,10/16/2020,3,311,AZ,15111 N Hayden Rd,85260
"7700 W Arrowhead Towne Ctr,2nd fl in front of Puppies n love and Vissionworks,Glendale, AZ 85308",Pinoy's Coffee and Boba,Glendale,3/2/2016,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,1/15/2020,3,12,AZ,7700 W Arrowhead Towne Ctr,85308
"4810 E Ray Rd,Ste 7A,Phoenix, AZ 85044",Yummies Yogurt,Phoenix,7/8/2015,Bubble Tea/Ice Cream & Frozen Yogurt,9/5/2020,4,51,AZ,4810 E Ray Rd,85044
