address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"4328 Moorpark Ave,San Jose, CA 95129",Teaspoon,San Jose,9/19/2015,Bubble Tea/Desserts/Coffee & Tea,10/28/2020,4,737,CA,4328 Moorpark Ave,95129
"10963 N Wolfe Rd,Cupertino, CA 95014",Happy Lemon,Cupertino,5/13/2017,Juice Bars & Smoothies/Bubble Tea,9/21/2020,4,154,CA,10963 N Wolfe Rd,95014
"5681 Snell Ave,Ste 1,San Jose, CA 95123",Tapioca Express,San Jose,3/22/2006,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,10/16/2020,3,278,CA,5681 Snell Ave,95123
"2200 Eastridge Loop,Ste 1091,Eastridge,San Jose, CA 95122",Quickly,San Jose,9/2/2013,Bubble Tea/Juice Bars & Smoothies/Asian Fusion,4/10/2020,3,112,CA,2200 Eastridge Loop,95122
"6029 Snell Ave,San Jose, CA 95123",Snow's Creamery,San Jose,9/29/2019,Ice Cream & Frozen Yogurt/Bubble Tea/Creperies,9/5/2020,5,8,CA,6029 Snell Ave,95123
"271 Castro St,Mountain View, CA 94041",Tea Era,Mountain View,12/5/2005,Coffee & Tea/Bubble Tea,10/26/2020,4,1560,CA,271 Castro St,94041
"3655 N 1st St,San Jose, CA 95134",Honeyberry,San Jose,8/2/2016,Desserts/Shaved Ice/Coffee & Tea,3/4/2020,4,82,CA,3655 N 1st St,95134
"1275 1st St,Gilroy, CA 95020",TeaLeaf,Gilroy,8/6/2018,Bubble Tea/Juice Bars & Smoothies/Sandwiches,11/1/2020,4,170,CA,1275 1st St,95020
"272 Barber Ln,Milpitas, CA 95035",Ume Tea,Milpitas,10/4/2020,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/31/2020,4,20,CA,272 Barber Ln,95035
"1171 Homestead Rd,Ste 115,Santa Clara, CA 95050",OMG Tea,Santa Clara,10/4/2018,Bubble Tea/Coffee & Tea,10/10/2020,4,126,CA,1171 Homestead Rd,95050
"1732 N Milpitas Blvd,Milpitas, CA 95035",Ten Ren Tea of Milpitas,Milpitas,9/20/2006,Coffee & Tea,10/28/2020,4,749,CA,1732 N Milpitas Blvd,95035
