address,business_name,city,first_review_date,food_tags,last_review_date,rating,review_num,state,street,zip5
"602 NW Loop 410,Ste 130,San Antonio, TX 78216",Lustea,San Antonio,8/17/2020,Coffee & Tea/Desserts/Bubble Tea,10/29/2020,3,26,TX,602 NW Loop 410,78216
"15069 Interstate 35 Frontage Rd,Selma, TX 78154",Boba Tea Lounge,Selma,5/13/2016,Coffee & Tea/Juice Bars & Smoothies/Bubble Tea,10/23/2020,4,147,TX,15069 Interstate 35 Frontage Rd,78154
"11255 Huebner Rd,San Antonio, TX 78230",Tea Time,San Antonio,7/31/2017,Coffee & Tea/Bubble Tea,8/13/2020,4,77,TX,11255 Huebner Rd,78230
"3850 S New Braunfels Ave,Ste 108,San Antonio, TX 78223",Boba Tea,San Antonio,10/28/2014,Bubble Tea/Coffee & Tea,10/8/2020,4,112,TX,3850 S New Braunfels Ave,78223
"7115 Blanco Rd,Ste 112,San Antonio, TX 78216",Premium Matcha Cafe Maiko,San Antonio,2/8/2020,Shaved Ice/Ice Cream & Frozen Yogurt,10/26/2020,5,44,TX,7115 Blanco Rd,78216
"1815 N New Braunfels Ave,San Antonio, TX 78208",Simple Chinese,San Antonio,6/2/2009,Chinese/Vietnamese,8/8/2020,3,69,TX,1815 N New Braunfels Ave,78208
"5203 Walzem Rd,Windcrest, TX 78218",Tokyo Express,Windcrest,3/9/2019,Japanese,10/22/2020,3,37,TX,5203 Walzem Rd,78218
"8333 Culebra Rd,Ste- 205,San Antonio, TX 78251",Thai Hot,San Antonio,5/15/2013,Thai/Desserts/Noodles,10/1/2020,4,144,TX,8333 Culebra Rd,78251
"5625 Babcock Rd,San Antonio, TX 78240",Sultan Cafe and Grill,San Antonio,1/21/2008,Hookah Bars/Mediterranean,6/9/2020,4,59,TX,5625 Babcock Rd,78240
"2602 N Loop 1604 W,Ste 209,San Antonio, TX 78248",Thai Hut,San Antonio,6/6/2013,Thai/Chinese/Mongolian,10/30/2020,4,177,TX,2602 N Loop 1604 W,78248
"11745 Interstate Hwy 10 W,Ste 118,San Antonio, TX 78230",Presotea,San Antonio,7/11/2020,Desserts/Coffee & Tea/Juice Bars & Smoothies,10/25/2020,4,17,TX,11745 Interstate Hwy 10 W,78230
"3023 Thousand Oaks Dr,Ste 106,San Antonio, TX 78247",Pho Tommy 1,San Antonio,3/14/2017,Vietnamese/Thai,8/23/2020,4,96,TX,3023 Thousand Oaks Dr,78247
"14395 Blanco Rd,San Antonio, TX 78216",Ito Ramen,San Antonio,12/11/2017,Ramen/Noodles/Asian Fusion,10/25/2020,4,257,TX,14395 Blanco Rd,78216
"20770 US Hwy 281 N,Ste 105,San Antonio, TX 78258",San Poke,San Antonio,1/18/2019,Poke/Bubble Tea/Asian Fusion,10/27/2020,5,97,TX,20770 US Hwy 281 N,78258
"8027 W Loop 1604 N,Ste 104,San Antonio, TX 78254",Ding Tea & Crumbs,San Antonio,11/16/2019,Bubble Tea/Juice Bars & Smoothies/Sandwiches,11/1/2020,3,62,TX,8027 W Loop 1604 N,78254
"976 Coronado Blvd,Universal City, TX 78148",Noy's Bistro,Universal City,10/24/2014,Thai/Wine Bars,10/26/2020,4,203,TX,976 Coronado Blvd,78148
"8223 Marbach Rd,Ste 114,San Antonio, TX 78227",Tealicious Cafe,San Antonio,11/21/2014,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,8/10/2020,4,74,TX,8223 Marbach Rd,78227
"8110 Fredericksburg Rd,San Antonio, TX 78229",Tao's Thai Hot,San Antonio,8/11/2017,Thai/Chinese,7/24/2020,4,58,TX,8110 Fredericksburg Rd,78229
"11019 Culebra Rd,Ste 127,San Antonio, TX 78253",Mai Boba Teas,San Antonio,1/22/2019,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/6/2020,4,41,TX,11019 Culebra Rd,78253
"1160 N Loop 1604 W,Ste 108,San Antonio, TX 78248",Tropic Cup,San Antonio,3/24/2018,Bubble Tea,10/10/2020,4,69,TX,1160 N Loop 1604 W,78248
"8002 Callaghan Rd,Ste 106,San Antonio, TX 78230",Jollicup Bubble Tea & Desserts,San Antonio,4/16/2016,Desserts/Bubble Tea/Vietnamese,3/5/2020,3,101,TX,8002 Callaghan Rd,78230
"19141 Stone Oak Pkwy,Ste 501,San Antonio, TX 78258",Y Bubble,San Antonio,2/7/2020,Bubble Tea/Ice Cream & Frozen Yogurt,10/31/2020,4,32,TX,19141 Stone Oak Pkwy,78258
"7400 San Pedro Ave,Ste 6510,San Antonio, TX 78216",Kokee Tea,San Antonio,3/12/2020,Bubble Tea,10/15/2020,5,3,TX,7400 San Pedro Ave,78216
"6423 Babcock Rd,Ste 104,San Antonio, TX 78249",Snopioca,San Antonio,8/26/2016,Coffee & Tea/Shaved Ice/Bubble Tea,10/14/2020,4,187,TX,6423 Babcock Rd,78249
"6903 Blanco Rd,San Antonio, TX 78216",Zero Degrees,San Antonio,12/13/2018,Bubble Tea/Coffee & Tea,10/31/2020,4,168,TX,6903 Blanco Rd,78216
"5539 W Loop 1604 N,San Antonio, TX 78253",Ginza Ramen Poke and Boba,San Antonio,12/12/2019,Ramen/Poke,11/1/2020,4,110,TX,5539 W Loop 1604 N,78253
"7211 Green Glen Dr,San Antonio, TX 78255",Kung Fu Tea,San Antonio,10/26/2017,Coffee & Tea/Bubble Tea/Juice Bars & Smoothies,10/5/2020,4,110,TX,7211 Green Glen Dr,78255
"5514 Walzem Rd,Ste 7,San Antonio, TX 78218",T-Pioca,San Antonio,1/12/2019,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,9/20/2020,4,53,TX,5514 Walzem Rd,78218
