,search_city,business_name,rating,food_tags,first_review_date,last_review_date,review_num,address,city,state,street,zip5
0,New York,Tea and Milk,4.0,Coffee & Tea/Bubble Tea/Cafes,8/26/2013,11/1/2020,412.0,"32-02 34th Ave,Astoria, NY 11106",Astoria,NY,32-02 34th Ave,11106
1,New York,Tomiz,4.0,Japanese/Desserts/Cafes,2/14/2006,10/11/2020,1191.0,"18 E 41st St,New York, NY 10017",New York,NY,18 E 41st St,10017
2,New York,Bobba Hubba,4.0,Bubble Tea,7/13/2019,9/2/2020,18.0,"40-36 75th St,Elmhurst, NY 11373",Elmhurst,NY,40-36 75th St,11373
3,New York,JJ Kitchen,4.0,Chinese,6/17/2017,3/25/2020,17.0,"475 B Myrtle Ave,Brooklyn, NY 11205",Brooklyn,NY,475 B Myrtle Ave,11205
4,New York,Tea Cup Cafe,4.0,Coffee & Tea/Desserts/Thai,4/17/2013,10/25/2020,122.0,"76-23 Woodside Ave,Elmhurst, NY 11377",Elmhurst,NY,76-23 Woodside Ave,11377
5,New York,Vietnaam,4.0,Vietnamese/Sandwiches/Soup,1/29/2014,10/20/2020,800.0,"1700 2nd Ave,New York, NY 10128",New York,NY,1700 2nd Ave,10128
6,New York,UT47,4.0,Coffee & Tea/Breakfast & Brunch/Vegan,1/20/2018,10/30/2020,235.0,"358 W 47th St,New York, NY 10036",New York,NY,358 W 47th St,10036
7,New York,Coco Fresh Tea & Juice,4.0,Coffee & Tea/Juice Bars & Smoothies,7/31/2016,10/26/2020,21.0,"37-01 82nd St,Jackson Heights, NY 11372",Jackson Heights,NY,37-01 82nd St,11372
8,New York,CoCo Fresh Tea & Juice,3.0,Bubble Tea/Coffee & Tea/Juice Bars & Smoothies,10/19/2018,9/3/2020,27.0,"646 9th Ave,New York, NY 10036",New York,NY,646 9th Ave,10036
9,New York,Cool Fresh Juice Bar,4.0,Juice Bars & Smoothies/Acai Bowls/Bubble Tea,7/25/2017,10/29/2020,37.0,"333 6th Ave,New York, NY 10014",New York,NY,333 6th Ave,10014
10,New York,Newkirk Fruit,4.0,Bubble Tea/Juice Bars & Smoothies,8/28/2014,7/12/2020,25.0,"17 Newkirk Plz,Flatbush - Ditmas Park, NY 11226",Flatbush - Ditmas Park,NY,17 Newkirk Plz,11226
11,New York,Shan Xi Snack,3.0,Burgers/Bubble Tea/Noodles,7/30/2020,10/23/2020,12.0,"7002 Fort Hamilton Pkwy,Brooklyn, NY 11228",Brooklyn,NY,7002 Fort Hamilton Pkwy,11228
12,New York,Yaya Tea Garden,3.0,Bubble Tea/Japanese/Specialty Food,9/4/2017,9/25/2020,83.0,"284 3rd Ave,New York, NY 10010",New York,NY,284 3rd Ave,10010
